INLS,720,Metadata Architectures and Applications,7
INLS,582,Systems Analysis,7
INLS,556,Introduction to Archives and Records Management,7
INLS,721,Cataloging Theory and Practice,7
INLS,719,Usability Evaluation and Testing,7
INLS,523,Introduction to Database Concepts and Applications,7
INLS,512,Applications of Natural Language Processing,7
INLS,541,Information Visualization,7
INLS,560,Programming for Information Professionals,7
INLS,613,Text Mining,7
INLS,623,Database Systems II: Intermediate Databases,7
INLS,626,Introduction to Big Data and NoSQL,7
INLS,718,User Interface Design,7
INLS,500,Human Information Interactions,7
INLS,690,Intermediate Selected Topics,7
INLS,789,Big Data Algorithms and Society,7
INLS,520,Organization of Information,8
INLS,509,Information Retrieval,8
INLS,609,Experimental Information Retrieval,8
INLS,714,Introduction to Information Analytics,8
INLS,582,Systems Analysis,8
INLS,719,Usability Evaluation and Testing,8
INLS,585,Management for Information Professionals,8
INLS,523,Introduction to Database Concepts and Applications,8
INLS,560,Programming for Information Professionals,8
INLS,512,Applications of Natural Language Processing,8
INLS,613,Text Mining,8
INLS,626,Introduction to Big Data and NoSQL,8
INLS,500,Human Information Interactions,8
INLS,512,Applications of Natural Language Processing,8
INLS,789,Big Data Algorithms and Society,8
INLS,513,Resource Selection and Evaluation,9
INLS,520,Organization of Information,9
INLS,530,Young Adult Literature and Related Materials,9
INLS,732,Children's Literature and Related Materials,9
INLS,501,Information Resources and Services,9
INLS,783,Library Instruction and Pedagogy,9
INLS,782,Library Assessment,9
INLS,560,Programming for Information Professionals,9
INLS,534,Youth and Technology in Libraries,9
INLS,500,Human Information Interactions,9
INLS,737,Inclusive Information Services for Diverse Populations,9
INLS,795,Professional Field Experience,9
INLS,513,Resource Selection and Evaluation,10
INLS,520,Organization of Information,10
INLS,582,Systems Analysis,10
INLS,782,Library Assessment,10
INLS,786,Marketing of Information Services,10
INLS,843,Seminar in Public Libraries,10
INLS,523,Introduction to Database Concepts and Applications,10
INLS,572,Web Development I,10
INLS,500,Human Information Interactions,10
INLS,737,Inclusive Information Services for Diverse Populations,10
INLS,525,Electronic Records Management,10
INLS,530,Young Adult Literature and Related Materials,10
INLS,551,History of Libraries and Other Information-Related Cultural Institutions,10
INLS,554,Cultural Institutions,10
INLS,556,Introduction to Archives and Records Management,10
INLS,585,Management for Information Professionals,10
INLS,718,User Interface Design,10
INLS,721,Cataloging Theory and Practice,10
INLS,795,Professional Field Experience,10
INLS,842,Seminar in Popular Materials in Libraries,10
INLS,513,Resource Selection and Evaluation,11
INLS,530,Young Adult Literature and Related Materials,11
INLS,732,Children's Literature and Related Materials,11
INLS,842,Seminar in Popular Materials in Libraries,11
INLS,501,Information Resources and Services,11
INLS,558,Principles and Techniques of Storytelling,11
INLS,585,Management for Information Professionals,11
INLS,711,Disaster Planning for Libraries,11
INLS,721,Cataloging Theory and Practice,11
INLS,733,Administration of Public Library Work with Children and Young Adults,11
INLS,782,Library Assessment,11
INLS,783,Library Instruction and Pedagogy,11
INLS,843,Seminar in Public Libraries,11
INLS,523,Introduction to Database Concepts and Applications,11
INLS,534,Youth and Technology in Libraries,11
INLS,500,Human Information Interactions,11
INLS,737,Inclusive Information Services for Diverse Populations,11
INLS,660,Social Media and Society: A Theoretical and Empirical Overview,11
INLS,530,Young Adult Literature and Related Materials,12
INLS,732,Children's Literature and Related Materials,12
INLS,501,Information Resources and Services,12
INLS,585,Management for Information Professionals,12
INLS,782,Library Assessment,12
INLS,783,Library Instruction and Pedagogy,12
INLS,534,Youth and Technology in Libraries,12
INLS,737,Inclusive Information Services for Diverse Populations,12
INLS,513,Resource Selection and Evaluation,12
INLS,520,Organization of Information,12
INLS,558,Principles and Techniques of Storytelling,12
INLS,733,Administration of Public Library Work with Children and Young Adults,12
INLS,520,Organization of Information,13
INLS,513,Resource Selection and Evaluation,13
INLS,582,Systems Analysis,13
INLS,501,Information Resources and Services,13
INLS,525,Electronic Records Management,13
INLS,740,Digital Libraries: Principles and Applications,13
INLS,782,Library Assessment,13
INLS,523,Introduction to Database Concepts and Applications,13
INLS,572,Web Development I,13
INLS,613,Text Mining,13
INLS,623,Database Systems II: Intermediate Databases,13
INLS,718,User Interface Design,13
INLS,750,Introduction to Digital Curation,13
INLS,500,Human Information Interactions,13
INLS,754,Access Outreach and Public Service in Cultural Heritage Repositories,13
INLS,520,Organization of Information,14
INLS,620,Web Information Organization,14
INLS,720,Metadata Architectures and Applications,14
INLS,582,Systems Analysis,14
INLS,719,Usability Evaluation and Testing,14
INLS,523,Introduction to Database Concepts and Applications,14
INLS,541,Information Visualization,14
INLS,560,Programming for Information Professionals,14
INLS,572,Web Development I,14
INLS,623,Database Systems II: Intermediate Databases,14
INLS,641,Visual Analytics,14
INLS,718,User Interface Design,14
INLS,500,Human Information Interactions,14
INLS,660,Social Media and Society: A Theoretical and Empirical Overview,14
INLS,418,Human Factors in System Design​,14
