1,Academic Libraries
2,Archives and Records Management (ARM) 
3,Data Science/Data Analytics/Databases
4,Digital Libraries/Digital Humanities
5,Environmental Informatics
6,Information and Society
7,Information Organization/Information Systems
8,Information Retrieval/Text Mining
9,Instructional Librarianship
10,Public Libraries-Adult Services
11,Public Libraries-Youth Services
12,School Library Media
13,Special Libraries and Knowledge Management
14,User Experience (UX)/Human-Computer Interaction
